ID,Model,Scenario,Measure,Value
P01,B,Hamlet,score,42.0
P01,B,Venice,score,42.0
P02,A,Hamlet,score,36.0
P02,A,Venice,score,28.0
P03,B,Hamlet,score,36.0
P03,B,Venice,score,34.0
P04,A,Hamlet,score,28.0
P04,A,Venice,score,29.0
P05,A,Hamlet,score,27.0
P05,A,Venice,score,39.0
P06,A,Hamlet,score,37.0
P06,A,Venice,score,26.0
P08,A,Hamlet,score,26.0
P08,A,Venice,score,23.0
P09,B,Hamlet,score,33.0
P09,B,Venice,score,30.0
P11,B,Hamlet,score,33.0
P11,B,Venice,score,37.0
P12,B,Hamlet,score,37.0
P12,B,Venice,score,34.0
P13,A,Hamlet,score,36.0
P13,A,Venice,score,36.0
P14,B,Hamlet,score,34.0
P14,B,Venice,score,33.0
P15,A,Hamlet,score,29.0
P15,A,Venice,score,34.0
P16,A,Hamlet,score,27.0
P16,A,Venice,score,27.0
P17,B,Hamlet,score,41.0
P17,B,Venice,score,42.0
P18,B,Hamlet,score,40.0
P18,B,Venice,score,34.0
P19,A,Hamlet,score,35.0
P19,A,Venice,score,16.0
P20,B,Hamlet,score,36.0
P20,B,Venice,score,37.0
P21,A,Hamlet,score,22.0
P21,A,Venice,score,12.0
P22,B,Hamlet,score,34.0
P22,B,Venice,score,27.0
P23,A,Hamlet,score,12.0
P23,A,Venice,score,24.0
P24,B,Hamlet,score,37.0
P24,B,Venice,score,19.0
P25,A,Hamlet,score,26.0
P25,A,Venice,score,23.0
P26,B,Hamlet,score,38.0
P26,B,Venice,score,31.0
