Outcome,Term,Beta,SE,t,p,CI95_L,CI95_U,N
immersion_attention,Intercept,22.416666666666657,1.1036841427096276,20.310762653191752,9.651202003498939e-16,20.127765847628428,24.705567485704886,24
immersion_attention,C(Model)[T.B],2.9166666666666696,1.5608450831960767,1.868645836840088,0.07504613714158653,-0.32032791454407494,6.153661247877414,24
immersion_time_loss,Intercept,24.08333333333333,1.9603873818377537,12.28498691455387,2.529699742482863e-11,20.017738739481146,28.14892792718551,24
immersion_time_loss,C(Model)[T.B],1.0833333333333366,2.7724064229000334,0.3907555993179861,0.6997362095661144,-4.666285680403151,6.832952347069824,24
immersion_presence,Intercept,15.749999999999996,1.8618647652395166,8.459261002220998,2.3083385501040227e-08,11.888728807290331,19.611271192709662,24
immersion_presence,C(Model)[T.B],3.166666666666666,2.6330744023063217,1.2026499000153466,0.24189608732519788,-2.293995422063875,8.627328755397208,24
immersion_emotional,Intercept,15.83333333333333,1.3605183207182838,11.6377215155575,7.146156452903322e-11,13.011791029605686,18.654875637060975,24
immersion_emotional,C(Model)[T.B],6.6666666666666625,1.9240634610168643,3.4648891794573866,0.0022018195200656757,2.6764032739256014,10.656930059407724,24
immersion_enjoyment,Intercept,16.58333333333333,1.8276426832884416,9.07361897649231,6.864745031573452e-09,12.793034394709602,20.373632271957053,24
immersion_enjoyment,C(Model)[T.B],5.499999999999998,2.584677069878468,2.1279254047232325,0.04479072594777236,0.13970783554998079,10.860292164450016,24
immersion_total,Intercept,94.66666666666664,7.213378423653388,13.123762695749496,6.993701945261325e-12,79.70703542525196,109.62629790808133,24
immersion_total,C(Model)[T.B],19.33333333333333,10.201257597260074,1.8951911711871692,0.0712831959956326,-1.82278005637556,40.48944672304222,24
